domain,severity,reject_media,reject_reports,public_comment,obfuscate
ams3-03.smarterliving.nl,suspend,False,False,BirdSiteLIVE/Bot,False
b.booots.tech,suspend,False,False,BirdSiteLIVE/Bot,False
bearbirdsite.sicem.social,suspend,False,False,BirdSiteLIVE/Bot,False
beta.mstdn.cf,suspend,False,False,BirdSiteLIVE/Bot,False
birb.byte.wtf,suspend,False,False,BirdSiteLIVE/Bot,False
birb.redra1n.net,suspend,False,False,BirdSiteLIVE/Bot,False
birb.stream,suspend,False,False,BirdSiteLIVE/Bot,False
birbber.hotfemboy.pics,suspend,False,False,BirdSiteLIVE/Bot,False
bird.chauvet.pro,suspend,False,False,BirdSiteLIVE/Bot,False
bird.docmeth02.host,suspend,False,False,BirdSiteLIVE/Bot,False
bird.evilcyberhacker.net,suspend,False,False,BirdSiteLIVE/Bot,False
bird.geiger.ee,suspend,False,False,BirdSiteLIVE/Bot,False
bird.gensokyo.info,suspend,False,False,BirdSiteLIVE/Bot,False
bird.granford.uk,suspend,False,False,BirdSiteLIVE/Bot,False
bird.hock.one,suspend,False,False,BirdSiteLIVE/Bot,False
bird.im-in.space,suspend,False,False,BirdSiteLIVE/Bot,False
bird.istheguy.com,suspend,False,False,BirdSiteLIVE/Bot,False
bird.karatek.net,suspend,False,False,BirdSiteLIVE/Bot,False
bird.kuendig.io,suspend,False,False,BirdSiteLIVE/Bot,False
bird.lummerland.ddnss.de,suspend,False,False,BirdSiteLIVE/Bot,False
bird.makeup,suspend,False,False,BirdSiteLIVE/Bot,False
birdmakeup.opiumpost.org,suspend,False,False,BirdMakeup/Bot,False
bird.r669.live,suspend,False,False,BirdSiteLIVE/Bot,False
bird.seafoam.space,suspend,False,False,BirdSiteLIVE/Bot,False
bird.shitposted.today,suspend,False,False,BirdSiteLIVE/Bot,False
bird.tracto.pl,suspend,False,False,BirdSiteLIVE/Bot,False
bird.waffles.fun,suspend,False,False,BirdSiteLIVE/Bot,False
bird.xtra.nu,suspend,False,False,BirdSiteLIVE/Bot,False
bird.zerojay.com,suspend,False,False,BirdSiteLIVE/Bot,False
bird.zvo.io,suspend,False,False,BirdSiteLIVE/Bot,False
birdbots.leptonics.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdlive.grupotd.nat.cu,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.am-institute.swiss,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.archybold.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.axeleroy.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.b93.dece.space,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.blahaj.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.blazelight.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.cbruegg.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.centennial.root.sx,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.cloutier.co,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.codingneko.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.csachweh.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.darkesttimeline.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.datboi.network,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.davinkevin.fr,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.falkensweb.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.felixmueller.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.frog.fashion,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.gabeappleton.me,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.gnyo.org,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.gred.al,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.gxvwb.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.hexix.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.hwarf.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.ingwie.me,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.intra.kaijauch.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.james.moody.name,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.jupiterslanding.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.jvpiter.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.k-fortytwo.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.kaijauch.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.kohl.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.koyu.space,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.lakedrops.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.link,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.lipsia.casa,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.live,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.lluni.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.marschik.me,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.mastodon.land,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.mastodon.me.uk,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.miisu.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.monster,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.nickurak.ca,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.noitl.space,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.nytpu.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.oliviaappleton.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.otmns.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.outadoc.fr,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.platypush.tech,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.rap.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.schafscheiss.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.seejy.ninja,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.slashdev.space,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.spectreos.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.tableflip.zone,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.tcjc.uk,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.tedandrachel.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.thorlaksson.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.toot.si,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.vish.link,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.vrparty.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.weiranzhang.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.wilde.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.angrydome.au,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.baguette-it.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.bubbletea.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.chatty.monster,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.falschgold.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.ffvo.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.janngobble.synology.me,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.kevinyank.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.laski.app,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.leonardwong.tech,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.loca.lt,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.mastodon.vm.statshelix.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.moistgarbage.info,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.nullreference.io,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.obey.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.peanutlasko.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.samedwards.ca,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.sboulema.nl,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.self-hosted.site,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.treffler.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
blue.worldkey.io,suspend,False,False,BirdSiteLIVE/Bot,False
bmu.beerinacan.com,suspend,False,False,BirdSiteLIVE/Bot,False
bot.gallion.sh,suspend,False,False,BirdSiteLIVE/Bot,False
bridge.yopp.me,suspend,False,False,BirdSiteLIVE/Bot,False
bridgebot.b-wells.us,suspend,False,False,BirdSiteLIVE/Bot,False
bsite.spiderden.net,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.18m250.org,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.adamstas.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.allofti.me,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.beerinacan.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.compostintraining.club,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.fedi.grh.am,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.gronk.cc,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.m-n.live,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.pride-rock-labs.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.shrdr.de,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.sid500.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.tuxz.one,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.zogan.de,suspend,False,False,BirdSiteLIVE/Bot,False
cp2.jaxbeach.social,suspend,False,False,BirdSiteLIVE/Bot,False
cuicui.senpaga.net,suspend,False,False,BirdSiteLIVE/Bot,False
gateway.occm.cc,suspend,False,False,BirdSiteLIVE/Bot,False
instinctd.com,suspend,False,False,BirdSiteLIVE/Bot,False
leonardwong.dev,suspend,False,False,BirdSiteLIVE/Bot,False
mast.socialspill.com,suspend,False,False,BirdSiteLIVE/Bot,False
mastodon.socialspill.com,suspend,False,False,BirdSiteLIVE/Bot,False
news.twtr.plus,suspend,False,False,BirdSiteLIVE/Bot,False
optiplex.wallaby-bass.ts.net,suspend,False,False,BirdSiteLIVE/Bot,False
polaris.bonespr.it,suspend,False,False,BirdSiteLIVE/Bot,False
politbird.twexodus.top,suspend,False,False,BirdSiteLIVE/Bot,False
relay.scottsmall.org,suspend,False,False,BirdSiteLIVE/Bot,False
socialloods.nl,suspend,False,False,BirdSiteLIVE/Bot,False
sovran.social,suspend,False,False,BirdSiteLIVE/Bot,False
t.beergeek.social,suspend,False,False,BirdSiteLIVE/Bot,False
t.l3r.me,suspend,False,False,BirdSiteLIVE/Bot,False
test.misskey.cf,suspend,False,False,BirdSiteLIVE/Bot,False
tinybirdsite.com,suspend,False,False,BirdSiteLIVE/Bot,False
tweetbridge.kogasa.de,suspend,False,False,BirdSiteLIVE/Bot,False
tweetbridge.mollys.social,suspend,False,False,BirdSiteLIVE/Bot,False
tweetrans.ff15.eu,suspend,False,False,BirdSiteLIVE/Bot,False
tweets.icu,suspend,False,False,BirdSiteLIVE/Bot,False
twit.cryolog.in,suspend,False,False,BirdSiteLIVE/Bot,False
twitbridge.click,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.829.hu,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.cryobyte.net,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.dev.holtwick.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.doesnotexist.club,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.felixmueller.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.grants.cafe,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.kfem.cat,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.moxr.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.piriklub.eu,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.savvas.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.toots.ro,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.tresor.eyhoff.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.ukd.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitterbridge.mastodon.maki0419.com,suspend,False,False,BirdSiteLIVE/Bot,False
twitterfeed.furrypaws.cc,suspend,False,False,BirdSiteLIVE/Bot,False
twittergateway.10247.berlin,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.3q3.de,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.astra.lol,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.carnivore.social,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.ingeechat.party,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.plus,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.vrij.social,suspend,False,False,BirdSiteLIVE/Bot,False
twtrbridge.de,suspend,False,False,BirdSiteLIVE/Bot,False
vtweet.live,suspend,False,False,BirdSiteLIVE/Bot,False
white.fly.dev,suspend,False,False,BirdSiteLIVE/Bot,False
woof.foxxo.gay,suspend,False,False,BirdSiteLIVE/Bot,False
zwezo.o-k-i.net,suspend,False,False,BirdSiteLIVE/Bot,False
t2m.davinkevin.fr,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.retiolus.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.opiumpost.org,suspend,False,False,BirdSiteLIVE/Bot,False
birdmakeup.opiumpost.org,suspend,False,False,BirdSiteLIVE/Bot,False
bird.neolyum.de,suspend,False,False,BirdSiteLIVE/Bot,False
b.booots.tech,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.toots.ro,suspend,False,False,BirdSiteLIVE/Bot,False
twit.cryolog.in,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.tresor.eyhoff.de,suspend,False,False,BirdSiteLIVE/Bot,False
bird.makeup.hwarf.com,suspend,False,False,BirdSiteLIVE/Bot,False
bridge.booots.tech,suspend,False,False,BirdSiteLIVE/Bot,False
mast.socialspill.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.codingneko.com,suspend,False,False,BirdSiteLIVE/Bot,False
bird.xtra.nu,suspend,False,False,BirdSiteLIVE/Bot,False
white.fly.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.personally.tech,suspend,False,False,BirdSiteLIVE/Bot,False
cp2.jaxbeach.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.felixmueller.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.dfu.co,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.ingwie.me,suspend,False,False,BirdSiteLIVE/Bot,False
ll.birdsite.live,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.loca.lt,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.stop.pe,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.jemverse.xyz,suspend,False,False,BirdSiteLIVE/Bot,False
woof.foxxo.gay,suspend,False,False,BirdSiteLIVE/Bot,False
vtweet.live,suspend,False,False,BirdSiteLIVE/Bot,False
twtrbridge.de,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.ingeechat.party,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.carnivore.social,suspend,False,False,BirdSiteLIVE/Bot,False
twtr.astra.lol,suspend,False,False,BirdSiteLIVE/Bot,False
twt.pufferzone.racing,suspend,False,False,BirdSiteLIVE/Bot,False
twittergateway.10247.berlin,suspend,False,False,BirdSiteLIVE/Bot,False
twitterfeed.furrypaws.cc,suspend,False,False,BirdSiteLIVE/Bot,False
twitterbridge.mastodon.maki0419.com,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.ukd.social,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.savvas.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.moxr.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.kfem.cat,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.dev.holtwick.de,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.cryobyte.net,suspend,False,False,BirdSiteLIVE/Bot,False
twitter.829.hu,suspend,False,False,BirdSiteLIVE/Bot,False
twitbridge.click,suspend,False,False,BirdSiteLIVE/Bot,False
tweets.puddle.town,suspend,False,False,BirdSiteLIVE/Bot,False
tweetrans.ff15.eu,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.moistgarbage.info,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.spectreos.de,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.gnyo.org,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.darkesttimeline.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.skye.cx,suspend,False,False,BirdSiteLIVE/Bot,False
